(-8, 0)
(16, 0)
(8, 0)
(5, 13)
(-5, 13)
(13, 13)
(-13, 13)
(3, 6)
(-3, 6)
(11, 6)
(3, -6)
(-3, -6)
(-11, 6)
(11, -6)
(-11, -6)
(19, 6)
(19, -6)
(6, 12)
(-6, 12)
(14, 12)
(-14, 12)
(6, -12)
(-6, -12)
(4, 5)
(-4, 5)
(12, 5)
(4, -5)
(-4, -5)
(12, -5)
(-12, 5)
(-12, -5)
(20, 5)
(20, -5)
(7, 11)
(-7, 11)
(15, 11)
(7, -11)
(-7, -11)
(-15, 11)
(5, 4)
(-5, 4)
(5, -4)
(13, 4)
(-5, -4)
(13, -4)
(-13, 4)
(-13, -4)
(8, 10)
(0, 10)
(-8, 10)
(16, 10)
(0, -10)
(8, -10)
(-8, -10)
(16, -10)
(6, 3)
(-6, 3)
(6, -3)
(-6, -3)
(14, 3)
(14, -3)
(-14, 3)
(-14, -3)
(9, 9)
(1, 9)
(-1, 9)
(-9, 9)
(17, 9)
(-1, -9)
(1, -9)
(9, -9)
(-9, -9)
(17, -9)
(7, 2)
(-7, 2)
(7, -2)
(-7, -2)
(15, 2)
(15, -2)
(-15, 2)
(-15, -2)
(2, 8)
(10, 8)
(-2, 8)
(-10, 8)
(-2, -8)
(2, -8)
(10, -8)
(18, 8)
(-10, -8)
(18, -8)
(0, 1)
(8, 1)
(0, -1)
(8, -1)
(-8, 1)
(-8, -1)
(16, 1)
(16, -1)
(5, 14)
(-5, 14)
(13, 14)
(-13, 14)
(3, 7)
(-3, 7)
(11, 7)
(3, -7)
(-3, -7)
(-11, 7)
(11, -7)
(-11, -7)
(19, 7)
(19, -7)
(1, 0)
(-1, 0)
(9, 0)
(-9, 0)
(17, 0)
(6, 13)
(-6, 13)
(14, 13)
(-14, 13)
(4, 6)
(-4, 6)
(12, 6)
(4, -6)
(-4, -6)
(12, -6)
(-12, 6)
(-12, -6)
(20, 6)
(20, -6)
(7, 12)
(-7, 12)
(15, 12)
(-15, 12)
(7, -12)
(-7, -12)
(5, 5)
(-5, 5)
(13, 5)
(5, -5)
(-5, -5)
(13, -5)
(-13, 5)
(-13, -5)
(8, 11)
(0, 11)
(-8, 11)
(16, 11)
(0, -11)
(8, -11)
(-8, -11)
(6, 4)
(-6, 4)
(6, -4)
(14, 4)
(-6, -4)
(14, -4)
(-14, 4)
(-14, -4)
(9, 10)
(1, 10)
(-1, 10)
(-9, 10)
(17, 10)
(-1, -10)
(1, -10)
(9, -10)
(-9, -10)
(17, -10)
(7, 3)
(-7, 3)
(7, -3)
(-7, -3)
(15, 3)
(15, -3)
(-15, 3)
(-15, -3)
(2, 9)
(10, 9)
(-2, 9)
(-10, 9)
(-2, -9)
(2, -9)
(10, -9)
(18, 9)
(-10, -9)
(18, -9)
(16, 2)
(16, -2)
(0, 2)
(8, 2)
(0, -2)
(8, -2)
(-8, 2)
(-8, -2)
(-3, -8)
(-11, 8)
(3, -8)
(3, 8)
(-3, 8)
(11, 8)
(11, -8)
(-11, -8)
(19, 8)
(19, -8)
(1, 1)
(-1, 1)
(9, 1)
(1, -1)
(-1, -1)
(9, -1)
(-9, 1)
(-9, -1)
(17, 1)
(17, -1)
(6, 14)
(-6, 14)
(14, 14)
(-14, 14)
(-4, -7)
(4, 7)
(-4, 7)
(12, 7)
(4, -7)
(-12, 7)
(12, -7)
(-12, -7)
(20, 7)
(20, -7)
(-2, 0)
(10, 0)
(2, 0)
(-10, 0)
(18, 0)
(7, 13)
